PWY0-901;L-selenocysteine biosynthesis I (bacteria);selC serS selA selD;EG30092 EG10947 EG10941 EG10943
PUTDEG-PWY;putrescine degradation I;patA puuC patD;G7596 EG10036 G6755
PWY0-1221;putrescine degradation II;puuA puuB puuC puuD;G6644 EG11822 EG10036 G6645
ASPARAGINESYN-PWY;L-asparagine biosynthesis II;asnA asnB;EG10091 EG10092
ASPARAGINE-BIOSYNTHESIS;L-asparagine biosynthesis I;asnB;EG10092
BIOTIN-BIOSYNTHESIS-PWY;biotin biosynthesis I;fdx acpP bioA bioB bioD bioF fabB bioC fabG fabZ fabI bioH;EG11328 EG50003 EG10117 EG10118 EG10120 EG10121 EG10274 EG10119 EG11318 EG11284 EG11528 EG10122
PWY-6123;inosine-5'-phosphate biosynthesis I;purK purE purH purB purC;EG10796 EG10793 EG10795 EG11314 EG10791
PWY0-1507;biotin biosynthesis from 8-amino-7-oxononanoate I;fdx bioA bioB bioD;EG11328 EG10117 EG10118 EG10120
SAM-PWY;S-adenosyl-L-methionine biosynthesis;metK;EG10589
PWY-7221;guanosine ribonucleotides <i>de novo</i> biosynthesis;adk ndk gmk guaA guaB;EG10032 EG10650 EG10965 EG10420 EG10421
PWY0-1433;tetrahydromonapterin biosynthesis;folE folX folM;EG11375 G7195 G6862
PWY-7219;adenosine ribonucleotides <i>de novo</i> biosynthesis;adk purB purA;EG10032 EG11314 EG10790
PWY-6476;cytidylyl molybdenum cofactor biosynthesis;mocA;G7496
PWY0-1325;superpathway of L-asparagine biosynthesis;asnA asnB;EG10091 EG10092
PWY-6012;acyl carrier protein metabolism;entB acpP entF acpT acpS acpH;EG10260 EG50003 EG10264 EG12221 EG10247 EG11095
PWY-5964;guanylyl molybdenum cofactor biosynthesis;mobA;EG11829
P2-PWY;citrate lyase activation;citE citF citD citC citG citX;G6342 G6341 G6343 G6344 G6339 G6340
PWY-5459;methylglyoxal degradation IV;lldD aldA;EG11963 EG10035
PWY-5386;methylglyoxal degradation I;dld gloC yeiG gloB gloA;EG10231 G6475 EG12026 G6099 G6891
PWY-5453;methylglyoxal degradation III;gldA yqhD yeaE dkgA dkgB gpr;EG11904 G7564 G6967 G7565 EG11648 G7558
PYRIDNUCSYN-PWY;NAD <i>de novo</i> biosynthesis I (from aspartate);nadB nadA nadC nadE nadD;EG10631 EG10630 EG11546 EG10663 G6350
PWY-7761;NAD salvage pathway II (PNC IV cycle);nadE pncC nadD;EG10663 G7409 G6350
PWY3O-4106;NAD salvage pathway IV (from nicotinamide riboside);nadR;EG11335
LEUSYN-PWY;L-leucine biosynthesis;leuD leuC leuA tyrB ilvE dmlA leuB;EG11575 EG11576 EG11226 EG11040 EG10497 G6986 EG11577
PYRIDNUCSAL-PWY;NAD salvage pathway I (PNC VI cycle);pncA nadE pncB nadD;EG11135 EG10663 EG10742 G6350
NADPHOS-DEPHOS-PWY;NAD phosphorylation and dephosphorylation;pntA pntB nadK;EG10744 EG10745 EG12192
GLYCOCAT-PWY;glycogen degradation I;glk pgm malP malZ glgX glgP malQ;EG12957 EG12144 EG10560 EG10565 EG10381 EG10380 EG10561
ASPARTATESYN-PWY;L-aspartate biosynthesis;aspC;EG10096
GLUTDEG-PWY;L-glutamate degradation II;aspA aspC;EG10095 EG10096
PWY-7446;sulfoquinovose degradation I;yihQ yihS yihV yihU yihT;EG11843 EG11845 EG11848 EG11847 EG11846
PWY-7247;&beta;-D-glucuronide and D-glucuronate degradation;uidA uxaC;EG11055 G81
GLUCUROCAT-PWY;superpathway of &beta;-D-glucuronosides degradation;uidA uxaC eda kdgK uxuA uxuB;EG11055 G81 EG10256 EG12253 EG11066 EG20248
GLUCARDEG-PWY;<i>D</i>-glucarate degradation I;glxK garK gudD garR garL;G6283 EG11175 G7445 EG11176 EG10016
PWY-5188;tetrapyrrole biosynthesis I (from glutamate);gltV gltU gltT gltW gltX hemA hemL hemB hemC hemD;EG30034 EG30033 EG30032 EG30035 EG10407 EG10427 EG10432 EG10428 EG10429 EG10430
GALACTUROCAT-PWY;D-galacturonate degradation I;eda uxaC uxaB kdgK uxaA;EG10256 G81 EG11065 EG12253 EG12734
GALACTARDEG-PWY;D-galactarate degradation I;glxK garK garD garR garL;G6283 EG11175 EG12522 EG11176 EG10016
HOMOSER-METSYN-PWY;L-methionine biosynthesis I;malY metC metB metH metE metA;EG10564 EG10583 EG10582 EG10587 EG10584 EG10581
PWY0-1306;L-galactonate degradation;lgoD;G7945
METSYN-PWY;superpathway of L-homoserine and L-methionine biosynthesis;metL asd malY metC metB metH metE metA;EG10590 EG10088 EG10564 EG10583 EG10582 EG10587 EG10584 EG10581
IDNCAT-PWY;L-idonate degradation;idnD idnK idnO;G7893 EG12152 G7892
KETOGLUCONMET-PWY;ketogluconate metabolism;ghrB dkgA dkgB idnD gntK idnK idnO;EG12272 G7565 EG11648 G7893 EG12629 EG12152 G7892
PWY-7242;D-fructuronate degradation;eda kdgK uxuA uxuB;EG10256 EG12253 EG11066 EG20248
PWY0-1600;periplasmic disulfide bond reduction;dsbD;EG12178
GALACTCAT-PWY;D-galactonate degradation;dgoD dgoA dgoK;GB4478 EG20049 EG20051
PWY0-1599;periplasmic disulfide bond formation;dsbA dsbB;EG11297 EG11393
PWY-7884;lipoprotein posttranslational modification;rseP sppA lspA lnt lgt;EG12436 EG10968 EG10548 EG10168 EG12128
GLUT-REDOX-PWY;glutathione-glutaredoxin redox reactions;grxC grxB nrdH grxA dsbA;EG12294 EG12688 G7401 EG10417 EG11297
DARABCATK12-PWY;D-arabinose degradation I;aldA fucA fucK fucI;EG10035 EG10348 EG10350 EG10349
PWY0-1301;melibiose degradation;melA;EG10577
PWY-5971;palmitate biosynthesis II (bacteria and plants);acpP fabI fabZ fabG fabB fabF;EG50003 EG11528 EG11284 EG11318 EG10274 EG12606
GLUTATHIONESYN-PWY;glutathione biosynthesis;gshB gshA;EG10419 EG10418
MANNCAT-PWY;D-mannose degradation;manA;EG10566
FUCCAT-PWY;fucose degradation;fucU fucI fucK fucA;EG10355 EG10349 EG10350 EG10348
THIOREDOX-PWY;thioredoxin pathway;trxA trxC trxB;EG11031 EG11887 EG11032
RIBOKIN-PWY;ribose phosphorylation;rbsD rbsK;EG10817 EG10818
PWY-5669;phosphatidylserine and phosphatidylethanolamine biosynthesis I;psd pssA;EG10775 EG10781
PWY0-1309;chitobiose degradation;chbF chbG;EG10144 EG12198
PWY-7180;2'-deoxy-&alpha;-D-ribose 1-phosphate degradation;mhpF adhE eutE deoC deoB;M014 EG10031 G7285 EG10221 EG10220
PWY-7208;superpathway of pyrimidine nucleobases salvage;upp pyrG adk ndk pyrH;EG11332 EG10810 EG10032 EG10650 EG11539
GLUCOSE1PMETAB-PWY;glucose and glucose-1-phosphate degradation;gcd glk pgm yihX ybiV yidA yigL;EG10369 EG12957 EG12144 EG11850 G6425 EG11195 EG11470
PWY0-1314;fructose degradation;fruK;EG10337
PWY-7196;superpathway of pyrimidine ribonucleosides salvage;adk ndk cmk pyrG pyrH upp udk cdd rihB rihA rihC;EG10032 EG10650 EG11265 EG10810 EG11539 EG11332 EG11701 EG10137 EG12030 G6358 EG11082
PWY0-1300;2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation;glxK garK mngB;G6283 EG11175 EG13236
ETOH-ACETYLCOA-ANA-PWY;ethanol degradation I;mhpF adhE eutE adhP;M014 EG10031 G7285 G6775
LYXMET-PWY;L-lyxose degradation;sgbE araD sgbU lyxK rhaA;EG12287 EG10055 EG12286 EG12284 EG11867
PWY-7193;pyrimidine ribonucleosides salvage I;udk cdd;EG11701 EG10137
PWY0-44;D-allose degradation;alsK alsE rpiB;EG11956 EG11957 EG11827
PWY0-1315;L-lactaldehyde degradation (anaerobic);fucO;EG10351
PWY0-163;salvage pathways of pyrimidine ribonucleotides;cmk udk codA cdd ppnP udp adk ndk upp;EG11265 EG11701 EG11326 EG10137 EG12159 EG11045 EG10032 EG10650 EG11332
PHESYN;L-phenylalanine biosynthesis I;tyrA pheA ilvE aspC tyrB;EG11039 EG10707 EG10497 EG10096 EG11040
